session,access_tier,group,acc,tpr,fpr,ece,n_items
1,feature_2G,0,0.6375,0.6330935251798561,0.6435643564356436,0.22555523989898993,240
1,feature_2G,1,0.75,0.7735849056603774,0.7037037037037037,0.23493358770858772,80
1,smart_3G,0,0.6708333333333333,0.6708074534161491,0.6708860759493671,0.19948762597696423,240
1,smart_3G,1,0.69,0.7049180327868853,0.6666666666666666,0.2719131532297604,200
1,smart_4G,0,0.675,0.9375,0.5,0.23110920634920631,40
1,smart_4G,1,0.65,0.6666666666666666,0.6285714285714286,0.22163511185480939,160
2,feature_2G,0,0.6416666666666667,0.6711409395973155,0.5934065934065934,0.253155540603014,240
2,feature_2G,1,0.675,0.6222222222222222,0.7428571428571429,0.2628344363969363,80
2,smart_3G,0,0.65,0.635036496350365,0.6699029126213593,0.22575241960351572,240
2,smart_3G,1,0.625,0.6111111111111112,0.6413043478260869,0.22380630244616956,200
2,smart_4G,0,0.775,0.8,0.7333333333333333,0.2614736013986014,40
2,smart_4G,1,0.7375,0.7473684210526316,0.7230769230769231,0.19975866013071897,160
3,feature_2G,0,0.6958333333333333,0.6711409395973155,0.7362637362637363,0.2193535987627079,240
3,feature_2G,1,0.5875,0.5961538461538461,0.5714285714285714,0.24794060150375946,80
3,smart_3G,0,0.6666666666666666,0.6891891891891891,0.6304347826086957,0.22701626111983256,240
3,smart_3G,1,0.715,0.7480916030534351,0.6521739130434783,0.24293890778533633,200
3,smart_4G,0,0.7,0.7272727272727273,0.6666666666666666,0.2781756474519632,40
3,smart_4G,1,0.69375,0.711340206185567,0.6666666666666666,0.22379133299966636,160
4,feature_2G,0,0.6833333333333333,0.7022900763358778,0.6605504587155964,0.23470384008353692,240
4,feature_2G,1,0.8,0.8260869565217391,0.7647058823529411,0.22063639455782313,80
4,smart_3G,0,0.7083333333333334,0.722972972972973,0.6847826086956522,0.22119752298263531,240
4,smart_3G,1,0.705,0.6910569105691057,0.7272727272727273,0.23261701015565045,200
4,smart_4G,0,0.775,0.6923076923076923,0.9285714285714286,0.20449138176638174,40
4,smart_4G,1,0.74375,0.7311827956989247,0.7611940298507462,0.2557709998334998,160
5,feature_2G,0,0.7333333333333333,0.7111111111111111,0.7619047619047619,0.25255746717291566,240
5,feature_2G,1,0.7375,0.7796610169491526,0.6190476190476191,0.27947863247863247,80
5,smart_3G,0,0.6875,0.6917808219178082,0.6808510638297872,0.2432069990636704,240
5,smart_3G,1,0.715,0.7049180327868853,0.7307692307692307,0.23993356795632093,200
5,smart_4G,0,0.675,0.5652173913043478,0.8235294117647058,0.20213392857142856,40
5,smart_4G,1,0.675,0.717391304347826,0.6176470588235294,0.25672657406748994,160
6,feature_2G,0,0.7291666666666666,0.7124183006535948,0.7586206896551724,0.2720981816143422,240
6,feature_2G,1,0.625,0.6111111111111112,0.6538461538461539,0.2554793417366947,80
6,smart_3G,0,0.75,0.7222222222222222,0.7916666666666666,0.2048148141389071,240
6,smart_3G,1,0.69,0.6869565217391305,0.6941176470588235,0.22271092120538397,200
6,smart_4G,0,0.675,0.7692307692307693,0.5,0.23813749999999997,40
6,smart_4G,1,0.74375,0.7606837606837606,0.6976744186046512,0.20676547619047625,160
